added_at,Abstract Beat,Aggressive,Aggressive Power,Alienated,Arousing Groove,Attitude,Awakening,Bittersweet Pop,Breezy,Brooding,Carefree Pop,Casual Groove,Cerebral,Chaotic,Charming,Cheerful,Confident,Cool,Cool Confidence,Cool Melancholy,Creepy,Dark Cosmic,Dark Groovy,Dark Hard Beat,Dark Playful,Dark Pop,Dark Pop Intensity,Dark Sparkling Lyrical,Dark Urgent,Defiant,Delicate,Depressed,Determined,Dramatic,Dramatic Emotion,Dreamy Brooding,Dreamy Pulse,Driving Dark Groove,Easygoing,Edgy,Empowering,Energetic Abstract Groove,Energetic Anxious,Energetic Dreamy,Energetic Melancholy,Energetic Yearning,Energizing,Enigmatic,Euphoric Energy,Evocative,Excited,Exploring,Exuberant,Festive,Fiery,Fiery Groove,Focused Sparkling,Forlorn,Friendly,Fun,Gentle Bittersweet,Gritty,Happy,Happy Excitement,Hard Dark Excitement,Hard Positive Excitement,Healing,Heartfelt Passion,Heavy Beat,Heavy Brooding,Heavy Triumphant,Heroic,Hopeful,Hypnotic Rhythm,Idealistic,Intense,Intimate,Intimate Bittersweet,Intriguing,Introspective,Invigorating,Jaunty,Joyous,Jubilant,Light Groovy,Light Melancholy,Lively,Lonely,Loud Celebratory,Lush,Lusty,Lyrical,Lyrical Sentimental,Melancholy,Mysterious,Ominous,Other,Party,Passionate Rhythm,Pastoral,Peaceful,Playful,Powerful,Quiet,Ramshackle,Reverent,Rollicking,Romantic,Rousing,Rowdy,Sad,Sensitive,Sensual,Sensual Groove,Sentimental,Serene,Serious,Sexy,Showy,Sincere,Smoky,Sober,Soft Soulful,Solemn,Somber,Sophisticated,Soulful,Spiritual,Stable,Stately,Stirring,Strong,Strumming Yearning,Suave,Sultry,Sweet,Swingin',Tender,Thrilling,Tough,Tranquil,Triumphant,Upbeat,Upbeat Pop Groove,Urgent,Wary,Wild,Wistful,Yearning
2015-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12,4,23,5,10,3,4,,4,,31,1,5,,7,,,4,33,4,,3,1,8,10,1,2,3,2,2,34,,1,2,2,7,7,9,5,5,6,12,1,14,1,3,5,17,2,12,3,18,3,1,1,7,3,,5,1,3,2,9,3,1,4,2,2,7,4,4,4,5,,,5,7,4,,3,,,4,,1,,2,7,1,1,,4,1,1,8,2,3,13,3,1,1,3,2,5,,3,2,3,17,2,9,1,3,13,3,6,1,1,6,1,6,2,2,2,1,4,5,12,1,5,,7,5,2,2,2,3,2,4,1,4,,1,8,4,21,17,1,5,10
2016-01,1,3,2,4,2,4,,,,9,,2,,,,,1,4,,,,,3,1,,1,,,,11,,,1,,1,1,4,4,,2,1,,1,2,,5,6,1,7,2,12,1,3,3,2,2,,2,,1,,2,,2,2,,,,1,,1,1,,,,,2,,2,1,,,,1,,,4,,1,1,,,,2,1,,2,1,,,1,,1,1,2,,2,3,2,4,,1,6,,1,,,2,1,1,1,1,,,1,1,1,,,,2,,1,,,,,1,,1,,1,1,3,2,1,,2,7
2016-02,1,7,1,1,2,,,1,,5,,1,,2,,,,4,1,,,,2,3,,,1,,1,5,,,,,3,1,4,,2,1,4,,1,1,1,4,4,1,4,2,7,1,,,,,,,1,,,3,1,1,2,2,1,1,,3,1,,,,1,2,1,,2,,,,,1,,1,,,,,,,,1,1,,,,,,1,,,,1,1,1,5,,3,,1,5,,2,,1,1,,2,4,,,1,2,4,4,1,1,,2,1,1,,,,,2,1,,,,2,3,3,,1,,6
2016-03,3,4,2,5,3,,,1,,13,,2,,,,,1,4,3,2,,1,,1,,2,1,2,2,9,,,1,,1,4,2,1,2,6,6,,2,2,1,1,12,,3,,4,2,3,3,3,1,,,2,,,5,,2,,3,,3,2,4,1,6,,2,,,1,,,2,,1,,,,,5,,,,1,,1,2,,,2,,2,,2,,6,2,,,,3,1,4,2,2,5,,6,,2,6,1,3,,1,2,,1,2,3,,,,,,2,2,2,,,3,,1,,,,,7,3,1,,5
2016-04,2,8,3,,1,2,,1,,8,1,,1,1,1,,,7,2,,1,1,1,3,,2,2,,1,20,,,1,1,4,6,1,1,5,3,12,,4,,2,2,6,2,5,,10,1,,,4,3,,,1,1,,4,1,1,3,3,2,3,1,9,2,9,,1,2,1,2,1,,1,1,1,1,2,,1,3,,1,,1,2,1,3,2,1,,1,1,,3,,9,1,2,2,2,9,4,3,2,1,4,,1,,3,3,3,3,1,1,1,2,4,3,8,2,1,,5,1,1,1,1,2,,3,1,,,1,5,4,8,4,,,4
2016-05,1,3,,2,2,1,,1,1,11,,1,2,1,,,1,6,1,,1,,1,3,,1,1,,,9,1,,,1,6,4,1,,2,2,7,,3,,3,2,6,1,5,2,9,3,,,3,1,1,3,,,1,3,1,1,1,2,,2,1,4,,3,1,,1,1,4,,2,1,,,,,,,,,1,,,2,1,3,1,1,1,,2,,2,,3,1,3,,3,8,,3,,3,8,3,3,,4,2,,1,2,,3,2,2,2,3,2,2,,2,2,1,1,1,,,3,,1,1,,2,2,4,3,,3,5
2016-06,,4,2,,,4,,1,,6,,2,,,,1,2,6,2,,,,2,1,,,1,,,16,1,,,,3,1,3,1,4,5,4,,4,,2,2,6,,4,3,7,2,,,3,,,,1,,,1,1,1,3,2,,1,1,2,1,3,,,,,2,,3,1,1,1,1,,,,2,,,,1,,,,,,2,,3,,2,1,3,1,1,,1,2,1,3,,2,8,2,,,,5,1,,1,,2,,,1,3,,,,1,,1,,,,,,,2,1,,3,2,5,2,,,5
2016-07,,1,,2,1,,1,,,5,,1,,,1,,,2,,,,,,,,,,,,5,,,,,,,3,,2,2,2,2,2,,1,,6,1,5,,6,2,,,3,1,,,,1,,,1,1,1,3,,,3,2,1,1,,,,,,,,,,,,,,1,,,,,,,,2,1,,1,1,,1,1,,1,,,,,1,,4,1,2,3,,,1,,2,,1,,,,,1,,2,,1,1,,1,,,,1,,1,,,,,2,,2,1,2,,2
