acousticness,added_at,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,name,popularity,preview_url,speechiness,tempo,time_signature,track_img,valence
0.0161,12/24/16,Gallant,0.479,198000,0.663,0.206,9,0.164,-8.507,Talking to Myself - Big Wild Remix,57,https://p.scdn.co/mp3-preview/030e98caa3a25b5893f086494403023d9d6fd26e?cid=930456c642564135939390fde3dd06bf,0.156,119.839,4,https://i.scdn.co/image/0591cc07ad3dbd99c7cc8a722f9548487236308a,0.242
0.701,12/24/16,John Frusciante,0.503,228533,0.109,0.000256,6,0.106,-16.028,The Will To Death,33,https://p.scdn.co/mp3-preview/298613fa74b349bf6a51af0ff538c5435ade4318?cid=930456c642564135939390fde3dd06bf,0.0329,168.214,4,https://i.scdn.co/image/a8aa7126347a4601158dc6e273e27261b74558f7,0.29
0.692,12/23/16,Andrew Applepie,0.81,187826,0.519,0.673,6,0.114,-6.959,Ankara Please,27,https://p.scdn.co/mp3-preview/1bec8396a5657d01353d9432c78ed1b5c6aa31e8?cid=930456c642564135939390fde3dd06bf,0.0558,91.953,4,https://i.scdn.co/image/f2fd50ddfc1ab35fc597b20aa6e1274b56f49b8a,0.476
0.674,12/22/16,Chad & Jeremy,0.579,154697,0.6,0.00695,9,0.469,-7.352,A Summer Song,35,https://p.scdn.co/mp3-preview/576abe237df63622ab172f139aca76c5b583bc67?cid=930456c642564135939390fde3dd06bf,0.0318,125.29,4,https://i.scdn.co/image/e9dd96c075388d0f70de58c33bc44daf99d0fd82,0.374
0.147,12/22/16,Hanouneh feat. Suhell Nafar,0.628,227400,0.742,5.62E-06,6,0.0676,-6.222,Gaza/NYE,3,https://p.scdn.co/mp3-preview/924f44ffdc8633f864ba0498a63003c611f3a518?cid=930456c642564135939390fde3dd06bf,0.118,77.602,4,https://i.scdn.co/image/736abe6d30e5bf3d2c24502e507b4ee6d7508087,0.966
0.0646,12/22/16,graves,0.661,195410,0.978,0.0681,4,0.286,-1.267,Tiger Blood,39,https://p.scdn.co/mp3-preview/ffd315b4c379af87b646bf60b07b5d232ada02eb?cid=930456c642564135939390fde3dd06bf,0.242,91.546,4,https://i.scdn.co/image/2e9f83e4c49fbdb63a4cf1aa1d01d442a642515b,0.634
0.00128,12/21/16,Lago,0.81,210066,0.781,0.524,1,0.085,-8.26,Karibu - Radio Edit,56,https://p.scdn.co/mp3-preview/d0914f1fbfa94e26624e37e947eeda25b5b2d2c6?cid=930456c642564135939390fde3dd06bf,0.0502,116.012,4,https://i.scdn.co/image/b50229677185bf6fdd38951339a5496b7c997719,0.863
0.0274,12/21/16,Osmo,0.764,284746,0.768,2.47E-05,4,0.126,-5.812,Take Your Time (feat. Ayelle),58,https://p.scdn.co/mp3-preview/c802da8dac7941b606afde5887a1d588631cea67?cid=930456c642564135939390fde3dd06bf,0.0657,117.959,4,https://i.scdn.co/image/b5c9363b1ba1c6a242f165cae26b37c36400aa7d,0.202
0.0843,12/20/16,Pablo Neptuno,0.644,200000,0.8,0.00457,1,0.233,-7.676,Doubts,45,https://p.scdn.co/mp3-preview/48f1bc9bb73456b86afd37d62fad35cb2615e55b?cid=930456c642564135939390fde3dd06bf,0.0396,87.978,4,https://i.scdn.co/image/fe4ecf442aecd93a3f158aa8eb02c2da6d67a4eb,0.719
0.0278,12/20/16,Sundara Karma,0.662,262724,0.725,0.042,0,0.0865,-6.642,Flame (Roosevelt Remix),53,https://p.scdn.co/mp3-preview/5d4d1fad3fce74ef0d3566ef3607364cedb7c516?cid=930456c642564135939390fde3dd06bf,0.0487,109.009,4,https://i.scdn.co/image/8698f5781fd6b1f1f73ed29e5df1ef64af4d46a1,0.894
0.302,12/18/16,Jean Tonique,0.832,199683,0.849,0.0972,6,0.334,-7.139,En voilier,36,https://p.scdn.co/mp3-preview/a2ac30eeeeffb8269fdc15801475f82f46c2baff?cid=930456c642564135939390fde3dd06bf,0.0698,109.987,4,https://i.scdn.co/image/f59145af723469d5eaba00df52973cd9e4a59103,0.635
